transcript_id,sample01,sample02,sample03,sample04,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12
AT3G62620.6,0,2,0,0,0,8,0,0,0,0,2,0
AT3G62620.7,4,7,23,5,7,2,0,3,3,0,3,19
AT3G62620.4,54,3,21,46,35,5,73,60,57,13,0,20
AT3G62620.5,12,12,0,7,59,0,0,0,0,0,17,0
AT3G51370.2,77,0,0,101,10,0,320,6,238,0,0,19
AT3G51370.3,244,17,132,85,76,79,32,38,336,76,498,69
AT3G62620.8,0,0,0,0,0,3,0,0,0,1,0,4
AT3G51370.1,3568,3982,4312,3509,2778,3686,3628,3563,2301,4311,4756,4684
AT5G28680.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G47245.1,0,0,0,6,0,0,0,0,0,0,0,0
AT4G32010.2,113,340,333,101,104,293,275,416,183,210,366,175
AT1G21630.4,0,0,1,0,0,0,0,0,0,0,0,0
AT1G50910.1,239,302,269,216,98,256,301,204,214,331,302,315
AT1G21630.2,2,6,6,5,4,7,8,6,12,3,3,5
AT1G21630.3,639,2945,560,957,0,860,1527,985,843,1120,376,1062
AT1G73030.1,1547,1744,1685,2099,1880,1764,1840,1599,1283,2299,2999,2616
AT1G21630.1,4837,2479,5964,4347,2382,4508,3670,3846,3266,4828,6118,4275
AT5G06250.3,9,1,0,0,4,0,22,0,0,12,0,2
AT1G80200.2,26,14,11,13,6,15,13,5,13,24,17,28
AT3G25840.1,2602,2271,3084,2435,2261,2417,2533,2410,2360,3144,4031,3257
AT1G27030.1,335,500,520,421,256,438,484,379,280,442,531,400
AT2G23400.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G06250.5,13,50,25,0,0,0,9,0,0,0,0,0
AT1G80200.3,0,16,8,0,16,11,5,20,5,16,11,0
at2g34202,0,0,0,0,0,0,0,0,0,0,0,0
AT5G53520.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G24540.1,0,0,230,0,0,0,0,614,0,0,0,664
at2g34204,0,0,0,0,0,0,0,0,0,0,0,0
AT2G23250.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G36325.1,0,0,0,4,0,0,0,0,0,0,0,0
AT4G29130.1,4003,4723,5011,3988,4350,3862,3835,3719,2753,3942,4717,4077
AT3G09130.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G15280.1,628,652,675,628,628,435,698,653,472,655,958,669
AT3G07730.1,131,140,135,147,163,144,145,133,156,176,264,147
AT3G07730.2,0,0,0,0,0,0,0,0,0,0,0,0
AT3G58820.1,176,198,216,183,143,162,163,127,108,164,248,221
AT1G76160.1,5669,6128,7169,5514,2604,5555,5858,5877,4552,5668,5970,4874
AT5G60860.1,553,610,792,691,305,577,638,513,438,604,822,628
AT5G18520.1,4088,4528,4810,3749,1489,4263,4589,3987,2792,4126,4174,3065
AT4G19990.1,45,0,0,0,0,0,0,30,0,0,0,12
AT1G33720.5,158,0,0,27,0,0,17,0,108,42,0,0
AT1G33720.4,80,212,191,199,128,174,76,0,98,128,212,117
AT1G33720.3,32,166,208,134,93,137,264,351,76,220,129,285
AT1G33720.2,39,67,12,11,65,14,79,5,39,47,167,13
AT1G33720.1,3,0,0,21,0,0,0,0,0,2,0,0
AT4G19990.6,0,57,198,39,256,117,38,337,29,92,259,112
AT1G07477.1,30,9,40,10,82,23,32,278,21,159,41,81
AT3G09720.1,813,901,1002,715,579,787,903,797,387,703,1152,922
AT4G10560.1,10,12,0,8,10,10,10,16,12,21,15,18
AT1G53023.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G09720.2,9,0,9,0,0,11,0,0,162,0,0,0
AT5G44230.2,0,0,0,0,0,0,135,73,0,33,0,91
AT5G35100.1,3090,2300,3267,2357,915,3394,3341,3164,1827,2608,2681,2214
AT4G28397.2,0,0,0,0,0,0,0,0,0,0,0,0
AT5G67110.3,0,2,1,0,3,0,0,1,1,1,3,0
AT1G58684.1,9576,10554,11240,8813,12628,7879,9278,9053,7166,9031,11405,11232
AT5G15610.2,2266,2348,2626,2082,1944,1570,2530,2033,1852,2079,2256,2597
AT5G15610.1,306,315,396,273,31,455,175,265,221,317,504,234
AT5G24800.1,1180,1280,1603,1038,734,1079,1626,1307,958,1619,1881,1969
AT5G35100.2,360,192,187,0,6,0,172,0,465,173,93,6
AT2G19130.1,292,437,414,364,340,290,216,266,223,540,644,627
AT5G50110.2,14,15,44,39,22,6,12,18,6,6,7,24
AT5G50110.1,531,388,482,408,186,487,475,435,435,589,602,617
AT5G55980.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G50890.1,165,305,227,99,151,144,269,248,159,156,248,239
AT3G51430.1,336,409,497,426,291,406,387,483,302,561,737,554
AT1G14010.1,606,595,680,530,379,622,555,555,533,591,839,739
AT1G28580.2,297,180,272,315,403,392,262,275,314,394,589,420
AT1G28580.1,1051,1607,1660,1297,837,1098,1239,1148,900,1496,1568,1527
AT4G18660.1,0,0,0,0,6,0,0,0,0,0,0,0
AT2G09055.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G16110.1,3243,3285,3536,3763,3081,3864,3773,3848,3147,4635,4931,4689
AT5G55990.1,881,940,1178,880,1060,1034,849,901,696,1020,1283,1059
AT5G55990.2,0,0,0,0,0,0,0,0,0,0,0,0
AT2G41250.1,9556,11034,11620,11213,14185,11299,10029,10112,8042,11787,14720,12534
AT1G03730.1,181,225,208,196,159,206,196,175,191,253,286,243
at5g04965,0,0,0,0,0,1,0,0,0,0,0,0
AT2G24380.1,0,0,0,1,0,0,0,0,0,0,0,0
AT5G53486.5,41,22,72,15,34,38,35,65,26,17,1,9
AT1G06360.2,507,470,446,388,216,272,456,381,277,453,476,442
AT1G06360.1,3716,3676,4381,3747,2244,3300,3369,3597,2706,3651,3627,3055
AT3G53560.1,0,3129,3799,2825,1764,2995,3179,3202,2072,3233,2718,1920
AT3G53560.2,3254,10,6,12,358,14,8,14,546,19,1142,1529
AT2G25680.1,503,533,610,536,610,536,496,549,284,565,865,592
AT1G10095.4,8,8,6,7,0,0,0,0,17,11,0,0
AT1G10095.3,0,8,0,6,0,0,0,0,6,11,0,9
AT1G10095.2,21,12,32,5,61,57,50,9,20,11,17,6
AT1G10095.1,96,172,178,125,70,56,122,108,138,186,174,131
AT3G08065.1,12,33,31,11,13,17,22,18,21,29,17,23
AT4G08560.1,0,0,0,0,0,0,0,0,0,0,0,0
ATMG00400.1,0,0,0,1,0,4,0,3,3,2,3,0
AT5G44240.2,1995,2371,2614,2055,1389,2101,2334,2146,1547,2334,2750,2676
AT5G44240.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G06123.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G78590.1,274,424,401,329,152,335,438,275,297,420,351,451
AT3G09310.1,103,91,134,84,90,69,90,103,57,114,123,73
AT1G78590.2,16,0,0,44,0,15,42,28,49,0,0,11
AT2G46030.4,248,23,127,321,229,40,109,138,0,134,27,162
AT2G46030.5,1060,785,1117,1120,949,313,1308,1152,821,1564,2337,1845
AT2G46030.1,41,13,6,2,15,840,11,48,248,29,164,42
AT2G46030.2,13,6,1,1,1,164,1,0,117,0,120,0
AT2G46030.3,187,824,573,458,583,427,475,350,338,523,300,456
AT4G24760.1,949,966,1026,937,456,886,1050,1005,891,929,1104,1070
AT5G27150.1,4001,4934,5591,4575,3863,4836,4585,3919,3390,4924,5790,5166
AT1G01790.2,868,1959,1204,1981,1100,5650,1119,936,641,3273,4151,906
AT1G01790.1,17160,19232,20568,15706,11793,13700,16200,15045,11633,13577,16410,16733
AT5G17860.2,0,0,464,0,0,0,549,0,0,902,17,0
AT3G62100.2,6,6,8,26,6,8,8,3,9,1,5,5
AT3G62100.1,31,54,48,0,78,30,46,58,27,36,55,48
AT5G17860.1,423,467,318,823,365,667,175,497,501,273,1835,1265
AT4G30020.1,2765,3171,2608,2759,1662,2149,3030,2831,2122,2734,3137,2941
AT4G30020.2,381,62,1023,0,122,0,0,0,167,0,161,29
AT4G30020.3,0,0,0,0,3,8,9,0,3,18,15,32
AT4G30020.4,107,21,179,34,21,394,55,27,95,59,139,6
AT1G01780.1,314,384,420,253,137,246,307,328,240,292,356,368
AT4G02040.1,83,109,138,92,20,109,85,70,19,76,133,87
AT4G09895.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G37380.9,4,51,6,39,3,46,39,44,3,17,39,33
AT5G15690.1,0,0,0,0,0,0,0,0,0,0,0,0
AT4G39810.1,26,88,69,37,28,36,44,73,57,44,41,63
AT2G36210.1,11,5,5,0,0,0,4,3,8,0,0,9
AT3G19640.1,1074,1040,1178,1126,987,991,919,941,862,1161,1497,1326
AT2G30810.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G34871.1,0,0,0,0,0,0,0,0,0,6,0,0
AT3G02485.1,6,0,0,0,0,0,3,7,5,9,0,0
AT1G60680.1,25,14,3,25,0,0,4,10,6,27,0,18
AT1G60680.2,0,6,0,0,8,0,0,0,0,0,11,0
AT3G02485.2,0,0,0,0,0,0,0,0,0,1,0,0
AT3G14330.1,1647,1567,1586,1240,1068,1219,1521,1444,1056,1376,1805,1540
AT1G09083.1,41,63,54,47,36,40,59,57,46,47,61,53
AT2G48000.1,558,610,575,503,315,494,639,464,428,546,707,655
AT2G16950.2,3838,4844,4835,4003,2652,4016,3818,3993,3097,4497,5120,4329
AT4G04957.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G16950.1,0,0,3,0,0,0,0,0,0,0,4,0
AT3G29160.1,1408,1387,1325,1269,1296,1444,1256,1333,1097,1386,2114,1577
AT3G29160.2,563,378,706,446,109,367,757,469,200,451,200,454
AT3G29160.3,19,274,201,51,53,69,169,184,83,299,363,104
AT3G09575.1,12,27,22,28,9,9,20,11,11,0,23,35
AT4G20540.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G61770.3,16,206,0,0,0,0,0,0,101,0,0,99
AT1G58200.2,1132,1204,1737,1253,830,1319,1262,1521,907,1481,1742,1898
AT1G58200.1,246,401,136,430,74,456,663,76,551,586,581,325
AT2G34925.1,96,64,153,80,63,92,118,74,107,72,88,89
AT5G44960.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G28885.1,0,0,0,0,0,0,0,0,0,0,0,0
AT3G22750.1,362,370,586,427,376,325,237,310,448,386,632,587
ATMG01170.1,25,54,61,45,21,47,47,63,39,40,49,44
AT2G09515.1,0,0,0,0,0,0,0,0,0,0,0,1
AT2G28670.1,18,11,2,1,13,30,28,67,27,43,23,23
AT1G33615.6,9,32,35,0,0,14,0,19,8,0,0,21
AT1G33615.4,17,3,13,10,33,0,17,8,0,0,0,3
AT1G33615.5,1,0,0,0,0,0,32,0,14,0,19,0
AT1G33615.2,0,13,13,9,9,0,23,20,0,21,0,38
AT1G33615.3,19,64,0,0,25,57,38,24,18,38,83,33
AT1G33615.1,12,0,15,25,0,10,0,0,0,0,0,5
AT5G05730.1,2278,2689,3065,3011,3054,2929,2563,2271,2245,4326,5414,4861
AT5G55160.1,2892,2742,3010,2578,3576,2687,2758,2822,1895,2774,3932,3631
AT5G05730.2,7,18,24,0,0,19,13,35,0,13,124,118
AT1G58210.1,304,352,380,356,443,333,347,370,280,308,582,413
AT5G61760.2,20,0,25,79,0,10,37,3,4,35,38,7
AT1G29880.1,9390,10465,10990,8600,6236,8850,9506,8649,6689,9082,11232,9609
AT4G19810.1,0,0,0,0,0,0,0,0,0,72,0,0
AT4G19810.2,199,134,191,91,155,116,84,169,90,62,89,117
AT4G32330.1,1780,581,4495,3594,2044,1153,3533,3538,2512,2367,4719,3601
AT1G54610.1,2300,2849,3103,2348,1647,2367,2852,2369,2147,2349,3144,3145
AT1G54610.2,520,104,107,231,371,156,181,213,22,275,122,40
AT1G54610.3,0,0,0,0,0,0,0,0,0,307,0,0
AT5G55580.3,0,21,0,4,0,0,16,27,0,22,19,17
AT5G23630.1,3135,3856,4204,3091,1819,3192,3058,3020,2419,3496,3981,3717
AT5G55580.1,1935,2204,2456,1826,990,1700,2004,1604,1492,2028,2418,1904
AT3G02100.1,0,0,0,0,0,0,0,0,0,0,3,0
AT3G41761.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G45240.1,0,0,0,2,6,0,2,0,1,3,8,0
AT3G29770.1,593,495,635,556,193,446,580,544,464,626,599,524
AT3G29770.2,31,18,22,50,2,26,74,32,3,21,5,39
AT4G05340.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G73770.1,49,45,137,38,135,69,78,48,44,10,76,64
AT1G73770.2,92,106,110,132,77,76,116,126,109,129,159,155
AT1G73770.3,0,0,0,22,19,9,11,0,0,0,25,0
AT5G54745.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G06713.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G26262.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G04305.1,0,0,0,0,0,0,0,0,0,0,0,0
AT2G38240.1,0,82,42,59,0,17,18,0,12,0,8,13
AT5G04933.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G51670.1,23,31,28,37,50,11,19,4,29,57,0,115
AT5G60640.1,4034,4208,5049,4568,4404,4059,4550,3685,1656,2600,6220,5240
AT5G60640.2,293,1312,353,47,377,29,150,599,1328,2188,138,516
AT1G51670.2,25,40,41,22,19,43,26,56,17,92,76,98
AT3G26115.3,49,87,55,32,10,9,9,7,22,9,102,102
AT3G52420.1,107,106,140,93,43,91,127,141,127,133,216,102
AT1G45249.4,65,104,121,92,60,104,177,38,38,74,100,100
AT1G45249.5,49,79,118,50,64,116,89,128,75,33,31,119
AT1G45249.6,102,287,298,220,155,106,283,180,121,150,186,156
AT1G45249.7,0,0,0,0,0,0,0,0,0,0,0,0
AT2G47850.1,344,116,524,569,139,242,372,294,253,563,195,319
AT1G45249.1,1182,1233,1366,1233,987,1568,1091,1037,972,1429,1839,1549
AT1G45249.2,119,24,60,54,70,52,32,129,34,15,41,64
AT1G45249.3,0,0,0,0,0,0,0,0,0,5,0,0
AT5G58940.2,0,85,7,0,0,0,41,0,86,39,0,0
AT1G45249.8,0,0,0,0,0,0,0,3,0,2,0,2
AT1G45249.9,0,1,9,0,6,0,0,1,0,0,0,11
AT5G27860.2,0,0,0,0,0,0,4,0,0,0,0,0
AT4G21600.1,10,18,15,8,16,8,31,8,31,26,38,35
AT5G08600.2,2,5,4,4,1,3,2,3,1,6,4,2
AT5G08600.3,0,0,4,32,11,0,6,7,0,0,0,31
AT5G08600.1,484,496,364,444,406,459,377,316,278,524,602,607
AT3G21610.2,49,108,115,86,23,41,63,74,76,228,220,128
AT1G09957.1,0,0,0,0,0,0,0,0,0,0,0,0
AT1G33600.1,3659,3491,3709,4304,1378,4788,3125,3276,2534,5600,5783,5060
AT1G33600.2,280,260,128,239,81,175,50,114,4,164,198,202
AT2G15025.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G54860.1,465,416,494,389,282,636,294,324,336,888,725,780
AT4G22940.1,0,0,0,0,0,0,0,0,0,0,0,0
AT5G42825.1,113,5,192,228,185,217,0,0,129,0,459,309
AT4G22940.2,37,23,31,6,12,13,22,0,23,17,17,23
AT5G41315.2,19,1,38,15,52,2,7,34,17,70,64,13
AT1G11060.1,1018,1194,1197,894,787,967,1002,923,792,1191,1200,1024
AT2G01480.2,63,21,27,44,97,33,11,29,118,37,22,9
AT3G26910.3,74,56,99,28,105,78,28,24,33,17,36,62
AT5G49290.8,24,11,6,0,0,0,0,0,0,0,0,0
